car_name,car_year,car_price,car_color,car_fuel,car_origin,car_license,car_gear,car_glass,car_motor_power,car_speedometer,car_number_of_passengers,car_driver_system_type,car_payment_method,car_previous_owners,car_sunroof,car_magnesium_rims
مرسيدس 220,1997,30000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,220,,١+٤,,إمكانية التقسيط,,,1
فولفو FH 12,2001,190000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,420,,,,إمكانية التقسيط,,1,1
فولكسفاجن باسات,2000,36000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,,,1
شفروليه اوبترا,2007,28000,ذهبي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,,,,إمكانية التقسيط,,,
هونداي كليك,2008,42000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,000000,4+1,,نقدا فقط,3,1,1
كيا فورتي,2009,44500,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,99,4+1,,نقدا فقط,3,1,1
اوبل أوميغا,1997,33000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,200000,4+1,,نقدا فقط,يد ثانية,1,1
كيا فورتي,2008,59500,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,82000,4+1,,نقدا فقط,3,1,1
كيا ريو,2007,3800,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,32123123,4+1,,إمكانية التقسيط,رابعه,,1
اوبل استرا,1999,28500,أخضر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,120 الف,4+1,,إمكانية التقسيط,يد ثانيه,,
سكودا اوكتافيا,2009,55000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,000000,4+1,,إمكانية التقسيط,2,,1
هونداي الانترا,2006,30000,أزرق سماوي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1999,,,,إمكانية التقسيط,,1,
فولكسفاجن باسات,1998,38000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,166000,4+1,,نقدا فقط,2,,
سكودا اوكتافيا,2007,50000,فيراني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,275000,4+1,,نقدا فقط,يد ثانيه,,1
رينو R5,1988,14500,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,,نقدا فقط,,,1
هونداي اكسنت,2013,67000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,4+1,,نقدا فقط,3,,1
اوبل كورسا,2013,54000,فيراني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,4+1,,إمكانية التقسيط,يد اولى,,1
مازدا 6,2015,170000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,50000,4+1,,نقدا فقط,يد أولى,1,1
دايو ليجانزا,1999,23000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,,نقدا فقط,,,
كيا سبورتاج,2011,89500,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,82700,,,نقدا فقط,يد اولى,,1
سكودا اوكتافيا,2008,60000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,,نقدا فقط,2,,1
فولكسفاجن طوارق,2008,130000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,123000,4+1,,نقدا فقط,2,1,1
فولكسفاجن جولف,2010,78000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,120000,4+1,,إمكانية التقسيط,,,1
سكودا اوكتافيا,2008,63000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,500000,4+1,,نقدا فقط,4,,1
ايسوزو تروبر,1999,59000,ذهبي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3000,18000000,6+1,,إمكانية التقسيط,5,,1
هونداي جيتس,2008,41000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٥٠,٤+١,,نقدا فقط,٤,,1
اوبل اسكونا,1984,11000,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,100000,4+1,,نقدا فقط,4,,
سكودا اوكتافيا,2007,60500,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,,إمكانية التقسيط,,,1
سانغ يونغ Sym,2013,5000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,,,,نقدا فقط,,1,1
فولكسفاجن كادي,2014,105000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,6+1,,نقدا فقط,0,,1
سيت ابيزا,2014,58000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,80000,4+1,,إمكانية التقسيط,يد اولى,,1
فيات دوبلو,2004,33000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,,نقدا فقط,يد ثانية,,1
دايو لانوس,2002,26999,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,,نقدا فقط,,,
كيا بيكانتو,2014,52000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1100,20000,4+1,,نقدا فقط,صفر,,
هونداي سانتافيه,2014,135000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,87000,4+1,,نقدا فقط,1,1,1
مرسيدس C250,2015,175000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,30000,,,نقدا فقط,0,1,1
بيجو 206,2007,28000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,160000,,,نقدا فقط,يد رابعة,,
شفروليه اوبترا,2011,39000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,110000,,,إمكانية التقسيط,2,,
فورد كونيكت,2005,45000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,1850,22000,4+1,,نقدا فقط,2,,
فولكسفاجن باسات,2007,72500,بني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,,,,نقدا فقط,,,1
هونداي فيرنا,2002,35000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,350000,4+1,,إمكانية التقسيط,٢,,1
سكودا اوكتافيا,2014,120000,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,,إمكانية التقسيط,1,1,1
هونداي اكسنت,2013,58000,سكني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,75000,,,نقدا فقط,,,
اوبل استرا,1997,26000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,,,
ايسوزو  4800,2003,60000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,4800,700000,2+1,,نقدا فقط,2,,
هونداي توسان,2015,89000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,55,5+1,,نقدا فقط,صفر,,1
سكودا اوكتافيا,2001,37000,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,٤٠٠٠٠٠,١+٤,,نقدا فقط,يد ثالثه,1,1
دايو 2000,2000,30000,زيتي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,5+1,,إمكانية التقسيط,6,,1
تويوتا كورولا,1998,44000,بنفسجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,٤+١,,إمكانية التقسيط,,,1
هونداي سانتافيه,2014,143000,بترولي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,35000,6+١,,إمكانية التقسيط,1,1,1
سيت ليون,2015,73000,بني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,,,إمكانية التقسيط,,,1
هونداي سانتافيه,2013,145000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,380000,6+1,,إمكانية التقسيط,1,,1
فولكسفاجن جولف,2007,70000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,210000,4+1,,إمكانية التقسيط,يد ثانيه,,1
اوبل كورسا,2003,33000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1400,167000,+1,,نقدا فقط,4,,1
هونداي فيرنا,2009,46499,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,140,5+1,,نقدا فقط,5,,1
بيجو بارتنر,2011,62000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,1600,75000,4+1,,إمكانية التقسيط,يد ثانيه,,
هونداي i20,2013,56000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,160,4+1,,إمكانية التقسيط,1,,
فولكسفاجن باسات,1996,23000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1900,123456789,4+1,,إمكانية التقسيط,4,,
سيت ليون,2014,70000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,60000,4+1,,نقدا فقط,يد اولى,,1
سوبارو عريض,1986,24000,أبيض,بنزين,عمومي,فلسطينية,عادي,يدوي,1600,111111,4+1,,نقدا فقط,7,,1
تويوتا كورولا,1993,27500,زيتي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000,٤+١,,نقدا فقط,...,,1
هونداي اكسنت,2014,66000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,94000,4+1,,نقدا فقط,يد ثانية,,1
هونداي فيرنا,2008,48000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,90,4+1,,نقدا فقط,يد ثانيه,,1
هونداي توسان,2015,108000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,20000,5+1,,نقدا فقط,صفر,1,1
هونداي اكسنت,2013,64000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80000,4+1,,إمكانية التقسيط,2,,1
فيات دوبلو,2009,550000,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,200,6±١,,إمكانية التقسيط,,,1
سوبارو نملة,1983,6000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,,,نقدا فقط,,,
اوبل كورسا,2013,68000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,50000,4+1,,نقدا فقط,يد أولى استيراد,,
سيت ابيزا,1988,8000,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,,,,إمكانية التقسيط,يد اولى,,1
بيجو بارتنر,2008,65000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,2,1,
فولكسفاجن جولف,2003,52000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,,إمكانية التقسيط,,,1
سيت ابيزا,2010,53000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,140000,4+1,,إمكانية التقسيط,2,1,1
بي ام دبليو 320,2007,92000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,نقدا فقط,يد ثانية,1,1
فولكسفاجن GTI,2015,155000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,200,46000,,,نقدا فقط,يد اولى,1,1
هونداي توسان,2013,90000,فضي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,82,4+1,,نقدا فقط,يد ثانيه,,1
هونداي اكسنت,2006,38000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,,4+1,,نقدا فقط,,,1
تويوتا تيندرا,1996,8000,كحلي,ديزل,خصوصي,نمرة صفراء,عادي,الكتروني,2500,000,4+1,,نقدا فقط,1,,
هونداي ix35,2014,85000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,38000,4+1,,نقدا فقط,0,1,1
اوبل كورسا,2014,70000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,51,4+1,,نقدا فقط,1,1,1
سكودا اوكتافيا,2014,112000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,120000,4+1,,نقدا فقط,1,,1
ايسوزو تروبر,1998,50000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3100,280000,6+1,,نقدا فقط,3,,1
مرسيدس 200,1978,15000,ذهبي,بنزين,عمومي,فلسطينية,اوتوماتيك,يدوي,2000,,4+1,,إمكانية التقسيط,,,1
فولكسفاجن كادي,2010,68000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,6+1,,نقدا فقط,2,1,
فولكسفاجن GTI,2008,67000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,115,4+1,,نقدا فقط,يد اولي 1,,1
فولكسفاجن بولو,1997,25000,أخضر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1600,,,,إمكانية التقسيط,,1,1
بي ام دبليو 523,2005,100000,أزرق,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2300,300000,4+1,,إمكانية التقسيط,3,1,1
كيا سبورتاج,2014,118000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٤١٠٠٠,4+1,,نقدا فقط,اولى,,1
